Samples,Methanobacteria,Syntrophobacteria,Kiritimatiellae,Thermoanaerobaculia,Desulfomonilia,unclassified_Myxococcota,Leptospirae,Syntrophia,Saccharimonadia,Deferribacteres,Methylomirabilia,Microgenomatia,Bacteriovoracia,Gammaproteobacteria,Clostridia,Alphaproteobacteria,Desulfovibrionia,Campylobacteria,GR/WP33.30,Planctomycetes,Bacilli,Vampirovibrionia,Polyangia,Thermoleophilia,Negativicutes,Bacteroidia,Actinobacteria,Luteitaleia,Thermodesulfovibrionia,Fusobacteriia,Bacilli_A,Cyanobacteriia,Spirochaetia,Acidobacteriae,Coriobacteriia,Desulfuromonadia,unclassified_Bacteria,Anaerolineae,MBNT15,unclassified_Proteobacteria,Verrucomicrobiae,Desulfobulbia,Gemmatimonadetes,unclassified_Actinobacteriota,Desulfobacteria,Ellin6529,Nitrospiria,unclassified_Desulfobacterota,Blastocatellia,Ignavibacteria,Holophagae,Desulfobaccia,unclassified_Bacteroidota,Paceibacteria,Fimbriimonadia,Acidimicrobiia,Nitrososphaeria
100014.c.056,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82916369,0.053609721,0,0,0,0,0,0.366333095,0,0,0,0,0.022337384,0,0,0,0,0,0,0,0,0,0,88.7106862,0,0,0,0.017869907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100014.c.055,0,0,0,0,0,0,0,0,0,0.012086783,0,0,0,0.205475313,0,0,0,0,0,0,0,0,0,0,0,0,0.024173566,0,0,0,0,0,0,0,0,0,99.75826434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100014.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83599143,0.023803856,0.053558677,0,0,0,0,16.97810045,0,0,0,10.02737443,0,1.529397762,0,0,0,0,0,0,0,0,0,57.41490121,0,0,0,0,0,0,0.136872173,0,0,0,0,0,0,0,0,0,0,0,0,0
100015.c.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413531962,0,0,0,0,0,0,85.48154053,0,0,0,0.039858502,0,4.0904788,0,0,0,0,0,0,0,0,0,9.944696328,0,0,0,0.029893877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100015.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,44.14085135,0.035658569,0,0,0,0,0,29.45397816,0,0,0,0,0,8.495654112,0,0,0,0,0,0,0,0,0,17.84711388,0,0,0,0.026743927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100015.c.052,0,0,0,0,0,0,0,0,0,0,0,0,0,3.731187291,1.426630435,0,0,0,0,0,4.316471572,0,0,0,0.799540134,4.191053512,7.195861204,0,0,0,0,0,0,0,0,0,78.3235786,0,0,0,0.015677258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100016.c.057,0,0,0,0,0,0,0,0,0,0,0,0,0,2.040310297,1.937586341,0,0,0,0,0,91.8954341,0,0,0,0,0.017711027,1.12642131,0,0,0,0,0,0,0,0,0,2.982536927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100016.c.056,0,0,0,0,0,0,0,0,0,0,0,0,0,21.69351066,15.11728931,0,0,0,0,0,56.63302814,0,0,0,0.100247277,0,1.871282497,0,0,0,0,0,0,0,0,0,4.55790951,0,0,0,0.026732607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100016.c.055,0,0,0,0,0,0,0,0,0,0,0,0,0,2.084411265,17.97619928,0,0,0,0,0,69.42863478,0,0,0,0,0,1.751792446,0,0,0,0,0,0,0,0,0,8.758962229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100016.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,1.195731128,11.67234732,0.771078952,0,0,0,0,67.67614684,0,0,0,0,0.57551545,1.35218193,0,0,0,0.318489132,0,0,0,0,0,16.3714589,0,0,0,0,0,0,0,0,0,0,0,0.067050344,0,0,0,0,0,0,0,0
100016.c.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215489923,0,0,0,0,0,0,0.240841678,0,0,0,0,0,2.002788693,0,0,0,0,0,0,0,0,0,97.54087971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100050.c.057,0,0,0,0,0,0,0,0,0,0,0,0,0,88.72242848,0.310111378,0,0,0,0,0,1.419523914,0,0,0,9.460580913,0.030574361,0,0,0,0,0,0,0,0,0,0,0.056780957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100050.c.052,0,0,0,0,0,0,0,0,0,0,0,0,0,52.74697421,11.2508713,0,0,0,0,0,35.8278943,0,0,0,0,0,0.11722958,0,0,0,0,0,0,0,0,0,0.057030606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100050.c.051,0,0,0,0,0,0,0,0,0,0,0,0,0,78.2418674,1.43034517,0,0,0,0,0,19.45368761,0,0,0,0.009932953,0,0.591010678,0,0,0,0,0,0,0,0.009932953,0,0.263223243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.064,0,0,0,0,0,0,0,0,0,0,0,0,0,76.13135469,0,0,0,0,0,0,0.984425507,0,0,0,22.72994417,0.154275639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.066,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2954928,0,0,0,0,0,0,3.043762858,0,0,0,11.33813353,0.149616607,0.144941088,0,0,0,0,0,0,0,0,0,0.028053114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.067,0,0,0,0,0,0,0,0,0,0,0,0,0,61.32042862,0.458002074,0,0,0,0,0,28.69858279,0,0,0,2.799861735,4.605945385,1.183892153,0,0,0,0,0,0,0,0,0,0.933287245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.069,0,0,0,0,0,0,0,0,0,0,0,0,0,46.68838219,0,0,0,0,0,0,11.27397756,0,0,0,3.269393172,28.6102063,10.15804078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.070,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7815935,0.10241005,0,0,0,0,0,35.31098518,0,0,0,0.716870349,1.078719192,45.72267359,0,0,0,0,0,0,0,0,0,0.14337407,0,0,0,0.14337407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100003.c.063,0,0,0,0,0,0,0,0,0,0,0,0,0,15.67824024,42.81863274,0,0.183308173,0,0,0,2.986844943,0.528358853,0,0,3.245632952,3.968082812,18.14750917,0,0,0,0,0,0,0,3.482855294,0,8.960534829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004.c.060,0,0,0,0,0,0,0,0,0,0,0,0,0,92.88561963,4.020439104,0,0,0,0,0,1.465551126,0,0,0,1.353248358,0.078611938,0.151608737,0,0,0.044921107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100005.c.056,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7792344,7.149099808,0.013109596,0,0,0,0,2.071316203,0,0,0,10.69306065,48.33945114,3.098234574,0,0,0,0,0,0,0,0.170424751,0,0.686068869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100005.c.058,0,0,0,0,0,0,0,0,0,0,0,0,0,36.41621354,5.679683638,0,0,0,0,0,11.71527435,0,0,0,27.86950074,0,16.17894217,0,0,1.171527435,0,0,0,0,0.182896688,0,0.785961443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100051.c.051,0,0,0,0,0,0,0,0,0,0,0,0,0,52.45018421,15.18836905,0,0,0,0,0,13.10066157,0,0,0,17.3671909,0,0.225805174,0,0,0.087152874,0,0,0,0,0,0,1.580636216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100051.c.055,0,0,0,0,0,0,0,0,0,0,0,0,0,51.51710188,10.23813902,0,0,0,0,0,4.211107025,0,0,0,7.617690327,0,0.381574108,0,0,16.93177639,0,0,0,0,0,0,9.102611254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100052.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,99.16312123,0.065454205,0,0,0,0,0,0.158960213,0,0,0,0,0.056103605,0.434802936,0,0,0,0,0,0,0,0,0,0.12155781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100053.c.051,0,0,0,0,0,0,0,0,0,0,0,0,0,89.90448838,8.252070532,0,0,0,0,0,1.399278653,0,0,0,0,0.016697836,0.277184077,0,0,0,0,0,0,0,0,0,0.150280524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100053.c.052,0,0,0,0,0,0,0,0,0,0,0,0,0,96.50538982,1.46903986,0.010027576,0,0,0,0,1.734770619,0,0,0,0,0.020055152,0.200551517,0,0,0,0,0,0,0,0.010027576,0,0.050137879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100054.c.051,0,0,0,0,0,0,0,0,0,0,0,0,0,95.26550815,4.121159951,0,0,0,0,0,0.301285845,0,0,0,0,0,0.312046054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100054.c.052,0,0,0,0,0,0,0,0,0,0,0,0,0,94.26871078,4.748043211,0,0,0,0,0,0.718028333,0,0,0,0,0,0.155249369,0,0,0,0,0,0,0,0,0,0.109968303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100055.c.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075172898,0.01503458,0,0,0,0,0,0.636463867,0,0,0,0,0,0.260599379,0,0,0,0,0,0,0,0,0,99.01272928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100051.c.057,0,0,0.010970125,0,0,0,0,0,0.014626833,0,0,0,0,34.05126705,1.704026036,0,0,0.650894065,0,0,11.26631806,0,0,0,6.516254068,9.803634768,2.21230848,0,0,28.73075657,0,0,0.844699601,0,0.197462244,0,3.996782097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100051.c.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133868809,73.1221181,0,0.039664832,0,0,0,20.57117358,0,0,0,0,1.120531509,0.118994497,0,0,0,0,0,0,0,3.550002479,0,1.34364619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100052.c.055,0,0,0,0,0,0,0,0,0,0,0,0,0,99.72826087,0.011814745,0,0,0,0,0,0.082703214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177221172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100052.c.059,0,0,0,0,0,0,0,0,0,0,0,0,0,75.88721077,0.02975969,0,0,0,0,0,0.200877911,0,0,0,23.04144037,0,0.104158917,0,0,0,0,0,0,0,0,0,0.73655234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100053.c.053,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100055.c.053,0,0,0,0,0,0,0,0,0,0,0,0,0,9.631260319,1.784731504,0,0,0,0,0,7.563487696,0,0,0,48.50224074,0,16.72301282,0,0,0,0,0,0,0,0,0,15.79526692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100055.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273637634,1.04215184,0,0,0,0,0,17.50698649,0,0,0,8.017000466,0,51.89217513,0,0,10.00815091,0,0,0,0,3.871681416,0,7.388216116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100057.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610687023,0,0,0,0,0,0,0.294034493,0,0,0,0.033927057,0,0.96692112,0,0,0,0,0,0,0,0,0,98.09443031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100058.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,95.13986836,0.558298072,0,0,0,0,0,0.393747062,0,0,0,0.393747062,0,0.023507287,0,0,0,0,0,0,0,0,0,3.490832158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100058.c.055,0,0,0,0,0,0,0,0,0,0,0,0,0,90.78731202,2.508530267,0,0,0,0,0,0.139011753,0,0,0,4.435738658,0,0.03159358,0,0,0,0,0,0,0,0,0,2.097813724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100061.c.052,0,0,0,0,0,0,0,0,0,0,0,0,0,99.78331528,0.021668472,0,0,0,0,0,0,0,0,0,0.057782593,0,0.036114121,0,0,0,0.014445648,0,0,0,0,0,0.086673889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100062.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140887592,83.16393278,0.020126799,0,0,0,0,6.646875314,0,0,0,0,0.825198752,2.782529939,0,0,0,0.115729093,0,0,0,2.93851263,0,3.366207105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100063.c.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175664598,92.07752664,0,0,0,0,0,5.264082445,0,0,0,0.158098138,0.427450521,0.75535777,0,0,0,0.040988406,0,0,0,0.368895655,0,0.731935824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100063.c.056,0.924920957,0,0,0,0,0,0,0,0,0,0,0,0,0.556840168,50.01179746,0,0,0,0,0,1.07592846,0,0,0,5.039875419,37.49705063,3.270256241,0,0,0,0.127412581,0,0,0,0.570997121,0,0.924920957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064.c.051,0,0,0,0,0,0,0,0,0,0,0,0,0,28.99078813,0.032753327,0,0,0,0,0,0.135107472,0,0,0,0.065506653,70.44831116,0.237461617,0,0,0,0,0,0,0,0,0,0.090071648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064.c.053,0,0,0,0,0,0,0,0,0,0,0,0,0,9.102194189,31.35274777,0,0.130846138,0.530094612,0,0,20.16372542,0,0,0,4.193786486,12.86318191,2.754478964,0,0,10.96423539,0,0,0.865597531,0,0.74481648,0,3.952224384,0,0,0,2.382070724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100065.c.051,0,0,0,0,0,0,0,0,0,0,0,0,0,99.41340782,0,0,0,0,0,0,0.069832402,0,0,0,0.398044693,0.020949721,0,0,0,0,0,0,0,0,0,0,0.097765363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100066.c.052,0,0,0,0,0,0,0,0,0,0,0,0,0,92.84084084,0,0,0,0,0,0,5.615615616,0,0,0,0.606606607,0.024024024,0.804804805,0,0,0,0,0,0,0,0.018018018,0,0.09009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004.c.051,0,0,0,0,0,0.325732899,0,0,0,0,0,0,0,8.184039088,77.9519544,1.28257329,0,0,0,0,7.288273616,0,0,0,0.101791531,0.732899023,1.872964169,0,0,0,0,0,0,0,1.913680782,0,0.346091205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100036.c.053,0,0,0,0,0,0,0,0,0,0,0,0,0,81.22824745,0.437857865,0,0,0,0,0,17.40204334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909397103,0,0,0,0,0,0,0,0,0,0.022454249,0,0,0,0,0,0,0,0,0,0
100036.c.057,0,0,0,0,0,0,0,0,0,0,0,0,0,68.92351586,7.077800944,0,0,0,0,0,1.492373532,0,0,0,17.14034895,0.02194667,5.311094041,0,0,0,0,0,0,0,0.032920004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100041.c.050,0,0,0,0,0,0,0,0,0,2.100067744,0,0,0,17.67153779,28.11381012,2.57427659,0.396786993,0,0,0,9.687409271,0,0,0,0.396786993,17.53604955,16.06503436,0,0,0,0,0,0,0,1.316171489,0,3.377528307,0,0,0,0.764540792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100041.c.053,0,0,0,0,0,0.357084889,0.048693394,0.389547151,0,0,0,0,0,65.88216199,0.633014121,8.326570362,0,0.162311313,0,0.081155657,3.10014608,0,0,0,0,6.476221393,0.957636747,2.402207434,0,0.259698101,0,0,0,0.324622626,0,0,4.203863009,0.649245252,0.941405616,0.24346697,1.834117838,0,0.113617919,0,0,0,1.201103717,0,0.503165071,0.454471677,0,0.211004707,0,0.097386788,0.146080182,0,0
100041.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16949153,0.301499348,0,0,0,0,0,84.33018253,0,0,0,0.048891786,0,4.172099087,0,0,0,0,0,0,0,0.08148631,0,0.896349413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100041.c.056,0,0,0,0,0,0,0,0,0,0,0,0,0,66.89340709,0,0,0,0,0,0,26.4538795,0,0,0,0,0,0.171924054,0,0,0,0,0,0,0,0,0,6.465839438,0,0.014949918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100041.c.057,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85056704,0.280186791,0.026684456,0,0,0,0,76.42428286,0,0,0,0,0.133422282,0.186791194,0,0,0,0.293529019,0,0,0,0,0,6.804536358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100041.c.058,0,0,0,0,0.043965707,0,0,0,0,0,0,0,0,25.19234997,0.626511321,0.670477028,0,0.142888547,0,0,70.25719938,0,0,0,0.109914267,1.077159815,0.296768521,0.087931413,0,0,0,0,0,0,0.09892284,0.19784568,0.703451308,0.09892284,0.120905694,0,0.09892284,0,0,0,0,0,0,0,0,0.120905694,0,0,0,0.054957133,0,0,0
